Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
S328_mature_hairpin_genome	9496977	0	0	0	0	0	0	0	8258274	0	86.96	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9496977
S332_mature	4024710	0	0	0	0	0	0	0	23894	0	0.59	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	4024710
S332_mature_hairpin	4003036	0	0	0	0	0	0	0	11436	0	0.29	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	4003036
S332_mature_hairpin_genome	15684102	0	0	0	0	0	0	0	13672920	0	87.18	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	15684102
S349_mature	2479945	0	0	0	0	0	0	0	26062	0	1.05	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2479945
S349_mature_hairpin	2455471	0	0	0	0	0	0	0	38957	0	1.59	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2455471
S349_mature_hairpin_genome	9644815	0	0	0	0	0	0	0	8632726	0	89.51	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9644815
S365_mature	2161587	0	0	0	0	0	0	0	39821	0	1.84	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2161587
S365_mature_hairpin	2122824	0	0	0	0	0	0	0	11240	0	0.53	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2122824
S365_mature_hairpin_genome	9776683	0	0	0	0	0	0	0	9042532	0	92.49	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9776683
S385_mature	1652927	0	0	0	0	0	0	0	1919	0	0.12	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1652927
S385_mature_hairpin	1651082	0	0	0	0	0	0	0	1714	0	0.1	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1651082
S385_mature_hairpin_genome	5602320	0	0	0	0	0	0	0	4667841	0	83.32	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	5602320
S451_mature	2245312	0	0	0	0	0	0	0	14908	0	0.66	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2245312
S451_mature_hairpin	2231991	0	0	0	0	0	0	0	7452	0	0.33	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2231991
S451_mature_hairpin_genome	8552120	0	0	0	0	0	0	0	7413821	0	86.69	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	8552120
S453_mature	2043319	0	0	0	0	0	0	0	4404	0	0.22	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2043319
S453_mature_hairpin	2039741	0	0	0	0	0	0	0	4951	0	0.24	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2039741
S453_mature_hairpin_genome	7943695	0	0	0	0	0	0	0	6949490	0	87.48	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	7943695
S531_mature	2107511	0	0	0	0	0	0	0	6373	0	0.3	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2107511
S531_mature_hairpin	2101204	0	0	0	0	0	0	0	4632	0	0.22	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2101204
S531_mature_hairpin_genome	7790164	0	0	0	0	0	0	0	6744806	0	86.58	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	7790164
S71_mature	1921529	0	0	0	0	0	0	0	26054	0	1.36	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1921529
S71_mature_hairpin	1896390	0	0	0	0	0	0	0	16361	0	0.86	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	1896390
S71_mature_hairpin_genome	7670705	0	0	0	0	0	0	0	6794058	0	88.57	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	7670705
S726_mature	2674181	0	0	0	0	0	0	0	21198	0	0.79	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2674181
S726_mature_hairpin	2653656	0	0	0	0	0	0	0	6415	0	0.24	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	2653656
S726_mature_hairpin_genome	9570252	0	0	0	0	0	0	0	8164063	0	85.31	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9570252
