Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	mirtop_mqc-generalstats-mirtop-isomiR_perc	mirtop_mqc-generalstats-mirtop-isomiR_sum	mirtop_mqc-generalstats-mirtop-read_count
S451_mature_hairpin							2231991	7452	0.08693257	0.0	7452.0	0.3338723140012661	0.0	0.0	2231991.0			
S451_mature_hairpin_genome							8552120	7413821										
S451_seqcluster																100.0	15336.0	15336.0
S453	41.98700099376736	98.42735601677788	55.0	23.0162036957721	36.36363636363637	2042929.0												
S453_mature							2043319	4404	0.02605279	0.0	4404.0	0.21553169133160313	0.0	0.0	2043319.0			
S453_mature_hairpin							2039741	4951	0.07825339	0.0	4951.0	0.2427268952283648	0.0	0.0	2039741.0			
S453_mature_hairpin_genome							7943695	6949490										
S453_seqcluster																100.0	4348.0	4348.0
S531	39.11745096143762	99.27084568993742	55.0	23.02120511883692	36.36363636363637	2107510.0												
S531_mature							2107511	6373	0.020307	0.0	6373.0	0.3023946256982763	0.0	0.0	2107511.0			
S531_mature_hairpin							2101204	4632	0.07861716	0.0	4632.0	0.2204450400817817	0.0	0.0	2101204.0			
S531_mature_hairpin_genome							7790164	6744806										
S531_seqcluster																100.0	7563.0	7563.0
S71	40.52073790931817	99.05081759735862	55.0	23.42402506024799	36.36363636363637	1920811.0												
S71_mature							1921529	26054	0.002292098	0.0	26054.0	1.3558993905374315	0.0	0.0	1921529.0			
S71_mature_hairpin							1896390	16361	0.02671463	0.0	16361.0	0.8627444776654591	0.0	0.0	1896390.0			
S71_mature_hairpin_genome							7670705	6794058										
S71_seqcluster																100.0	26654.0	26654.0
S726	40.52412082494556	98.88658264938034	56.0	23.78689548819241	36.36363636363637	2672942.0												
S726_mature							2674181	21198	0.006643691	0.0	21198.0	0.7926912950170539	0.0	0.0	2674181.0			
S726_mature_hairpin							2653656	6415	0.05640347	0.0	6415.0	0.24174195901804904	0.0	0.0	2653656.0			
S726_mature_hairpin_genome							9570252	8164063										
S726_seqcluster																100.0	19426.0	19426.0
